Date;day;dayOfWeek;month;trimester;year;is_holiday;portugueseWeekName
09/12/2022;9;6;12;4;2022;0;Sexta-feira
10/12/2022;10;7;12;4;2022;0;S‡bado
11/12/2022;11;1;12;4;2022;0;Domingo
12/12/2022;12;2;12;4;2022;0;Segunda-feira
13/12/2022;13;3;12;4;2022;0;Tera-feira
14/12/2022;14;4;12;4;2022;0;Quarta-feira
15/12/2022;15;5;12;4;2022;0;Quinta-feira
16/12/2022;16;6;12;4;2022;0;Sexta-feira
17/12/2022;17;7;12;4;2022;0;S‡bado
18/12/2022;18;1;12;4;2022;0;Domingo
19/12/2022;19;2;12;4;2022;0;Segunda-feira
20/12/2022;20;3;12;4;2022;0;Tera-feira
21/12/2022;21;4;12;4;2022;0;Quarta-feira
22/12/2022;22;5;12;4;2022;0;Quinta-feira
23/12/2022;23;6;12;4;2022;0;Sexta-feira
24/12/2022;24;7;12;4;2022;0;S‡bado
25/12/2022;25;1;12;4;2022;1;Domingo
26/12/2022;26;2;12;4;2022;0;Segunda-feira
27/12/2022;27;3;12;4;2022;0;Tera-feira
28/12/2022;28;4;12;4;2022;0;Quarta-feira
29/12/2022;29;5;12;4;2022;0;Quinta-feira
30/12/2022;30;6;12;4;2022;0;Sexta-feira
31/12/2022;31;7;12;4;2022;0;S‡bado
01/01/2023;1;1;1;1;2023;1;Domingo
02/01/2023;2;2;1;1;2023;0;Segunda-feira
03/01/2023;3;3;1;1;2023;0;Tera-feira
04/01/2023;4;4;1;1;2023;0;Quarta-feira
05/01/2023;5;5;1;1;2023;0;Quinta-feira
06/01/2023;6;6;1;1;2023;0;Sexta-feira
07/01/2023;7;7;1;1;2023;0;S‡bado
08/01/2023;8;1;1;1;2023;0;Domingo
09/01/2023;9;2;1;1;2023;0;Segunda-feira
10/01/2023;10;3;1;1;2023;0;Tera-feira
11/01/2023;11;4;1;1;2023;0;Quarta-feira
12/01/2023;12;5;1;1;2023;0;Quinta-feira
13/01/2023;13;6;1;1;2023;0;Sexta-feira
