Hotel ID;Facility ID;Nome
552;1117;Iron and ironing board
552;1118;Oven
552;1119;Refrigerator
552;1120;Free Internet / Wi-Fi
552;1121;Bed Linen and towels provided
552;1122;Microwave
552;1123;Outdoor furniture
552;1124;Coffee Machine
552;1125;Dishwasher
552;1126;Washing Machine
552;1127;Gas Stovetop
552;1128;Non-Smoking throughout all areas
552;1129;Airport Shuttle (additional cost)
552;1130;Private Terrace and Balcony
535;1131;Room with balcony
535;1132;Hotel Housekeeping: Daily Cleaning
535;1133;View Mondego River
535;1134;Family Rooms
535;1136;Secretary in the Room
535;1137;Canoe (on request and additional price)
535;1138;Free parking
535;1139;Restaurant on site
535;1140;Balcony Mondego river view
500;1141;Padel
370;1142;Private Terrace
370;1143;Air conditioning
545;1144;Dryer Machine
552;1145;Outdoor dining área
552;1146;Fans
544;1147;Airport Shuttle (additional cost)
544;1148;1 Bathroom
544;1149;Free Internet / Wi-Fi
544;1150;Non-Smoking throughout all areas
544;1151;Pets not allowed
544;1152;Cable Channels and flat screen TV
353;1153;In-room safe
353;1154;Desk in the room
353;1155;Massages (on request and with additional price)
353;1156;Non smoking rooms
353;1157;Phone in room
353;1158;Jacuzzi
353;1159;Turkish bath
353;1160;Soundproofed rooms
353;1161;Housekeeping
353;1162;Free private outdoor parking
353;1163;Garage (additional charge)
354;1164;In-room safe
354;1165;Massage (on request and with optional price)
354;1166;Non smoking rooms
354;1167;Phone in room
354;1168;Jacuzzi
354;1169;Turkish Bath
354;1170;Soundproof rooms
354;1171;Housekeeping
354;1172;Free private outdoor parking
354;1173;Garage (additional charge)
238;1174;Mini Fridge
238;1175;Mini Fridge
238;1176;Safe (extra cost)
238;1177;Exterior swimming pool with UV / COVID  free
537;1178;DELTA Q - Coffee Machine
238;1179;Digital TV
514;1180;Electric Car Charger
321;1181;Non-smoking Hotel
304;1182;Daily cleaning service - Free of charge
304;1183;External private bathroom
389;1189;Jacuzzi closed indefinitely
356;1190;Free public parking
